Date,Usage,Notifications,Times opened,App
8/26/2022,38,70,49,Instagram
8/27/2022,39,43,48,Instagram
8/28/2022,64,231,55,Instagram
8/29/2022,14,35,23,Instagram
8/30/2022,3,19,5,Instagram
8/31/2022,19,25,20,Instagram
9/1/2022,44,23,57,Instagram
9/2/2022,16,28,22,Instagram
9/3/2022,27,15,25,Instagram
9/4/2022,72,29,30,Instagram
9/5/2022,42,24,51,Instagram
9/6/2022,19,34,25,Instagram
9/7/2022,38,23,19,Instagram
9/8/2022,71,48,43,Instagram
9/9/2022,43,68,70,Instagram
9/10/2022,45,71,70,Instagram
9/11/2022,94,180,95,Instagram
9/12/2022,114,99,102,Instagram
9/13/2022,17,45,39,Instagram
9/14/2022,1,10,2,Instagram
9/15/2022,2,15,4,Instagram
9/16/2022,3,13,5,Instagram
9/17/2022,2,9,3,Instagram
9/18/2022,3,8,5,Instagram
9/19/2022,4,8,3,Instagram
9/20/2022,5,11,5,Instagram
9/21/2022,2,12,8,Instagram
8/26/2022,82,209,105,Whatsapp
8/27/2022,69,111,68,Whatsapp
8/28/2022,130,183,86,Whatsapp
8/29/2022,59,157,74,Whatsapp
8/30/2022,128,246,87,Whatsapp
8/31/2022,108,169,77,Whatsapp
9/1/2022,23,99,47,Whatsapp
9/2/2022,76,144,103,Whatsapp
9/3/2022,1,80,16,Whatsapp
9/4/2022,6,38,33,Whatsapp
9/5/2022,126,218,121,Whatsapp
9/6/2022,91,205,110,Whatsapp
9/7/2022,160,212,83,Whatsapp
9/8/2022,69,217,82,Whatsapp
9/9/2022,119,405,192,Whatsapp
9/10/2022,103,166,79,Whatsapp
9/11/2022,203,173,92,Whatsapp
9/12/2022,182,290,172,Whatsapp
9/13/2022,71,153,91,Whatsapp
9/14/2022,64,192,67,Whatsapp
9/15/2022,50,181,58,Whatsapp
9/16/2022,71,176,91,Whatsapp
9/17/2022,212,212,120,Whatsapp
9/18/2022,244,303,132,Whatsapp
9/19/2022,77,169,105,Whatsapp
9/20/2022,58,190,78,Whatsapp
9/21/2022,89,262,68,Whatsapp
